所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/人事管理(#7),检查页面元素是否完整-员工信息,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】",1. 在快捷导航栏中【人事管理】下单击【员工信息】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/人事管理(#7),员工信息-数据导出,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工信息】","1. 单击【数据导出】
2.单击弹窗的【确定】",1. 到处数据和页面列表中的一致,,1,功能测试,系统测试阶段
/人事管理(#7),员工信息-新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工信息】","1.单击【新增】
2.区域输入""成都""
3.部门输入""管理部""
4.职位输入""校长""
5.姓名输入""校长""
6.性别输入""男""
7.入职日期输入""""
8工号输入""WNCD001""
9.状态输入""在职""
10.电话输入""""
11.邮箱输入""""
12.QQ输入""""
13.学历输入""""
14.学校输入""""
15.专业输入""""
16.住址输入""""
17.户口输入""""
18.卡号输入""""
19.身份生日证输入""""
20.生日类型输入""""
21.联系人输入""""
22.联系号码输入""""
23.与本人关系输入""""
24.工号输入""""
25.单击【保存】",1. 显示数据生成成功， 列表出现该数据。,,1,功能测试,系统测试阶段
/人事管理(#7),员工信息-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工信息】","1.单击任意数据【修改】
2.区域输入""成都""
3.部门输入""管理部""
4.职位输入""主管""
5.姓名输入""主管""
6.性别输入""男""
7.入职日期输入""""
8工号输入""WNCD056""
9.状态输入""在职""
10.电话输入""""
11.邮箱输入""""
12.QQ输入""""
13.学历输入""""
14.学校输入""""
15.专业输入""""
16.住址输入""""
17.户口输入""""
18.卡号输入""""
19.身份生日证输入""""
20.生日类型输入""""
21.联系人输入""""
22.联系号码输入""""
23.与本人关系输入""""
24.工号输入""""
25.单击【保存】",1. 修改成功,,1,功能测试,系统测试阶段
/人事管理(#7),员工信息-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工信息】","1.单击任意数据【修改】
2.区域输入""成都""
3.部门输入""管理部""
4.职位输入""校长""
5.姓名输入""校长""
6.性别输入""男""
7.入职日期输入""""
8工号输入""WNCD001""
9.状态输入""在职""
10.电话输入""""
11.邮箱输入""""
12.QQ输入""""
13.学历输入""""
14.学校输入""""
15.专业输入""""
16.住址输入""""
17.户口输入""""
18.卡号输入""""
19.身份生日证输入""""
20.生日类型输入""""
21.联系人输入""""
22.联系号码输入""""
23.与本人关系输入""""
24.工号输入""""
25.单击【保存】",1. 修改失败,,1,功能测试,系统测试阶段
/人事管理(#7),检查页面元素是否完整-员工考勤,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【人事管理】",1. 在快捷导航栏中【人事管理】下单击【员工考勤】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/人事管理(#7),员工考勤-导入数据,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工考勤】","1.单击【数据导入】
2.区域下拉框选择""成都""
3.日期原则""2020-02""
4.单击选择文件， 将测试文件上传
4.单击提交",1. 页面列表中显示与测试数据相同的,,1,功能测试,系统测试阶段
/人事管理(#7),员工考勤-考勤时间查询,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在快捷导航栏中【人事管理】下单击【员工考勤】
5.完成数据导入","1.考勤时间输入""2020-02""至""2020-05""
2.单击【查询】
",1. 页面列表中显示与测试数据相同的"2020-02"至"2020-05"的数据,,1,功能测试,系统测试阶段
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
